Costitems,CostType,hours,customer,estimator,status,projectName,dateUpdated,dateCreated,projectNumber,Quantity,cost,sales
Evaporation Retarder,Part,0,"Ames Construction, Inc.",Steffy Rick,Bid Submitted,WaWa #8191 Hummelstown Ames,1/16/2026,7/2/2025,2506 - WH,3.05,"$1,146.74 ","$1,513.70 "
F100 Fiber Mesh,Part,0,"Hoover Building Specialists, Inc.",Swinehart Shelly,Bid Submitted,Weavertown Mennonite School,1/16/2026,11/26/2025,2511-WMS,113,"$1,137.91 ","$1,513.42 "
 3000 Psi York Concrete  ,Part,0,"Centurion Construction Group, LLC",Stoltzfus Jr Isaac,Bid Submitted,St Peters,1/16/2026,10/21/2025,2510 - SP,6.5,"$1,088.75 ","$1,513.36 "
 3000 Psi York Concrete  ,Part,0,Funk Construction,Stoltzfus Jr Isaac,Bid Submitted,St Peters,1/16/2026,10/21/2025,2510 - SP,6.5,"$1,088.75 ","$1,513.36 "
"2"" Popcorn Brick Chairs ",Part,0,IMC Construction,Stoltzfus Jr Isaac,Lost,Greystar Great Valley Residential,1/16/2026,1/6/2025,GR-25-001 ,1912,"$1,128.08 ","$1,511.63 "
3000 Psi DVC Concrete  ,Part,0,Harkins Builders,Stoltzfus Jr Isaac,Lost,Ardmore House II,1/16/2026,6/26/2025,2505-AH,7.5,"$1,136.33 ","$1,511.31 "
Travel Labor,Labor,29.9,"Hoover Building Specialists, Inc.",Swinehart Shelly,In Progress,Shank Door Main Building,1/16/2026,10/28/2025,2506-SDMB,29.9,"$1,136.20 ","$1,511.15 "
L&M Curing Compound,Part,0,"C. Raymond Davis & Sons, Inc.",Steffy Rick,Bid Submitted,Mercedes of Wilmington,1/16/2026,8/26/2025,2508 - MOW,19.96,"$1,127.54 ","$1,510.90 "
L&M Curing Compound,Part,0,Paul Risk Construction,Steffy Rick,Bid Submitted,Mercedes of Wilmington PR,1/16/2026,9/8/2025,2508 - MOWPR,19.96,"$1,127.54 ","$1,510.90 "
Bollards Labor,Labor,32,"Hoover Building Specialists, Inc.",Steffy Rick,In Progress,Family Treasures Wholesale,1/16/2026,10/16/2025,2506 - FTW,32,"$1,136.00 ","$1,510.88 "
Travel Labor,Labor,13.7,Speedwell Construction Inc.,Steffy Rick,Lost,Piazza Volkswagen,1/16/2026,7/7/2025,2506 - PV,13.7,"$1,041.20 ","$1,509.74 "
Management,Labor,20.48,Berg Construction,Steffy Rick,Bid Submitted,Lanchester Landfill - WAGA Energy,1/16/2026,8/27/2025,2508 - LLWE,20.48,"$1,126.40 ","$1,509.38 "
V-Seal 102 5 gal,Part,0,"B.R. Kreider & Son, Inc.",Steffy Rick,Bid Submitted,Baron Run,1/16/2026,10/1/2025,2510 - BR,6.03,"$1,133.58 ","$1,507.66 "
#4 Rebar - 20' Pc,Part,0,CBG Building Company,Stoltzfus Jr Isaac,Bid Submitted,Willow Grove Apartments + Garage,1/16/2026,4/2/2025,WG-25-001,181,"$1,133.06 ","$1,506.97 "
Site Concrete Wood Forms ,Part,0,CBG Building Company,Stoltzfus Jr Isaac,Bid Submitted,Willow Grove Apartments + Garage,1/16/2026,4/2/2025,WG-25-001,786,"$1,116.12 ","$1,506.76 "
Foundation Concrete  ,Part,0,Heck Construction,Steffy Rick,Lost,EASS Renovation,1/16/2026,8/28/2025,2528 - EASS,8,"$1,123.60 ","$1,505.62 "
4000 Psi Rohrers Concrete  ,Part,0,Funk Construction,Stoltzfus Jr Isaac,Estimating,Cornwall Manor Woods Campus Apartments ,1/16/2026,1/5/2026,2512 - CA,8,"$1,106.64 ","$1,505.03 "
Site Concrete Labor ,Labor,30,Brecknock Builders LLC,Steffy Rick,Bid Submitted,West Building Wolf Movers,1/16/2026,5/19/2025,WBWM - 25 - 001,30,"$1,140.00 ","$1,504.80 "
Management,Labor,20.4,"Benchmark Construction Co., Inc.",Steffy Rick,Bid Submitted,Hershey Lumber Company,1/16/2026,8/12/2025,2508 - HLC,20.4,"$1,122.00 ","$1,503.48 "
F100 Fiber Mesh,Part,0,"Hoover Building Specialists, Inc.",Swinehart Shelly,Bid Submitted,Cozy Cabins,1/16/2026,8/13/2025,2508-CC,112.2,"$1,129.85 ","$1,502.71 "
Management,Labor,19.5,CBG Building Company,Stoltzfus Jr Isaac,Bid Submitted,Ave Horsham Apartments + Garage,1/16/2026,11/4/2025,2510 - HA,19.5,"$1,072.50 ","$1,501.50 "
Somero S-840 (8 hr minimum),Equipment,0,IMC Construction,Stoltzfus Jr Isaac,Lost,Greystar Great Valley Residential,1/16/2026,1/3/2025,GR-25-001 ,10,"$1,500.00 ","$1,500.00 "
Mobilization,Part,0,CBG Building Company,Stoltzfus Jr Isaac,Bid Submitted,Ave Horsham Apartments + Garage,1/16/2026,11/4/2025,2510 - HA,2,"$1,500.00 ","$1,500.00 "
Travel Labor,Labor,29,"Ames Construction, Inc.",Stoltzfus Jr Isaac,Estimating,Wawa #8236 ,1/16/2026,12/30/2025,2012 - WA ,29,"$1,102.00 ","$1,498.72 "
 #8 Stone,Part,0,CCS Building Group,Steffy Rick,In Progress,Memory Care Meditation Building,1/16/2026,11/24/2025,2511 - MCMB,37,"$1,110.00 ","$1,498.50 "
#3 DEP Sand ,Part,0,CCS Building Group,Steffy Rick,In Progress,Memory Care Meditation Building,1/16/2026,11/24/2025,2511 - MCMB,37,"$1,110.00 ","$1,498.50 "
Skidloader Subcontractor ,Subcontractor,0,"Milex Construction, LLC",Stoltzfus Jr Isaac,Accepted,Sadsbury Commons,1/16/2026,11/19/2025,2508 - SC,30,"$1,350.00 ","$1,498.50 "
8. Travel Labor,Labor,31.5,IMC Construction,Stoltzfus Jr Isaac,Lost,Greystar Great Valley Residential,1/16/2026,12/30/2024,GR-25-001 ,31.5,"$1,118.25 ","$1,498.46 "
Trailer Pump (Includes 3 hr) ,Subcontractor,0,Conowongo Builders,Steffy Rick,Lost,Hanover Community Church,1/16/2026,10/30/2025,2510 - HCC,2,"$1,337.72 ","$1,498.25 "
"Chairs 2"" (5' section)",Part,0,Fernmoor Homes,Stoltzfus Jr Isaac,Bid Submitted,Rockvale Apartments,1/16/2026,5/14/2025,2505-RA ,636,"$1,125.72 ","$1,497.21 "
Site Concrete Labor ,Labor,26,Paul Risk Construction,Stoltzfus Jr Isaac,Bid Submitted,La Petite Academy,1/16/2026,9/11/2025,2505-LA,26,$988.00 ,"$1,496.97 "
"Chairs 1.5"" (5' section)",Part,0,Warfel Construction,Stoltzfus Jr Isaac,In Progress,Tel Hai Health Center,1/16/2026,9/17/2025,2506 - TH,618,"$1,100.04 ","$1,496.05 "
Bollards Concrete,Part,0,Brecknock Builders LLC,Steffy Rick,Bid Submitted,Melard Coach ,1/16/2026,12/23/2025,2512 - MC,8,"$1,123.60 ","$1,494.39 "
Slab On Grade Concrete  ,Part,0,Brecknock Builders LLC,Swinehart Shelly,Bid Submitted,Rushtown Poultry,1/16/2026,11/20/2025,2511-RP,8,"$1,123.60 ","$1,494.39 "
Bollards Concrete,Part,0,Funk Construction,Steffy Rick,Bid Submitted,Agape Safe Haven - Arthur Funk,1/16/2026,10/6/2025,2510 - ASH,8,"$1,123.60 ","$1,494.39 "
Site Concrete  ,Part,0,Funk Construction,Steffy Rick,Bid Submitted,Agape Safe Haven - Arthur Funk,1/16/2026,10/6/2025,2510 - ASH,8,"$1,123.60 ","$1,494.39 "
Foundation Concrete  ,Part,0,Heck Construction,Steffy Rick,Bid Submitted,Guardian Barrier Mt Joy Wire Lot,1/16/2026,11/19/2025,2511 - GBMJWL,8,"$1,123.60 ","$1,494.39 "
4000 psi Concrete  ,Part,0,"Hoover Building Specialists, Inc.",Swinehart Shelly,Bid Submitted,Cozy Cabins,1/16/2026,8/13/2025,2508-CC,8,"$1,123.60 ","$1,494.39 "
Bollards Concrete,Part,0,Scenic Ridge Construction,Steffy Rick,Bid Submitted,Agape Safe Haven,1/16/2026,10/6/2025,2510 - ASH,8,"$1,123.60 ","$1,494.39 "
Site Concrete  ,Part,0,Scenic Ridge Construction,Steffy Rick,Bid Submitted,Agape Safe Haven,1/16/2026,10/6/2025,2510 - ASH,8,"$1,123.60 ","$1,494.39 "
Bollards Concrete,Part,0,Speedwell Construction Inc.,Steffy Rick,Bid Submitted,Agape Safe Haven - Speedwell,1/16/2026,10/6/2025,2510 - ASH,8,"$1,123.60 ","$1,494.39 "
Site Concrete  ,Part,0,Speedwell Construction Inc.,Steffy Rick,Bid Submitted,Agape Safe Haven - Speedwell,1/16/2026,10/6/2025,2510 - ASH,8,"$1,123.60 ","$1,494.39 "
"Expansion Rigid Foam 6""x10'",Part,0,Brecknock Builders LLC,Swinehart Shelly,Bid Submitted,Rushtown Poultry,1/16/2026,11/20/2025,2511-RP,190,"$1,122.90 ","$1,493.46 "
"Expansion Rigid Foam 6""x10'",Part,0,"Hoover Building Specialists, Inc.",Swinehart Shelly,Bid Submitted,Rushtown Poultry,1/16/2026,11/6/2025,2511-RP,190,"$1,122.90 ","$1,493.46 "
Wire Mesh 8 ga (6x6) 5'x10' Sheet,Part,0,"B.R. Kreider & Son, Inc.",Steffy Rick,Lost,T2T Veterans Village,1/16/2026,2/21/2025,T2T - 25 - 001,103,"$1,122.70 ","$1,493.19 "
#5 Rebar - 20' Pc (3) Continuous ,Part,0,Heck Construction,Steffy Rick,Bid Submitted,Lime Spring Office Building,1/16/2026,7/16/2025,2507 - LSOB,115,"$1,122.40 ","$1,492.79 "
3500 Psi Concrete  ,Part,0,CBG Building Company,Stoltzfus Jr Isaac,Bid Submitted,Willow Grove Retail Buildings D & H,1/16/2026,4/1/2025,WR-25-001,7.5,"$1,113.90 ","$1,492.63 "
Management,Labor,20.4,"Hoover Building Specialists, Inc.",Swinehart Shelly,Bid Submitted,Deihm Services,1/16/2026,8/12/2025,2508-DS,20.4,"$1,122.00 ","$1,492.26 "
Management,Labor,20.4,"Hoover Building Specialists, Inc.",Swinehart Shelly,In Progress,Shank Door Site,1/16/2026,4/9/2025,SDS-25-001,20.4,"$1,122.00 ","$1,492.26 "
Management,Labor,20.4,"Hoover Building Specialists, Inc.",Swinehart Shelly,Bid Submitted,Weiler Walls,1/16/2026,11/10/2025,WWS-25-001,20.4,"$1,122.00 ","$1,492.26 "
Travel Labor,Labor,29.5,"Hoover Building Specialists, Inc.",Swinehart Shelly,Bid Submitted,Earl R Martin- Truck Shop,1/16/2026,8/12/2025,2508-ERM,29.5,"$1,121.00 ","$1,490.93 "
"#5 Rebar - 20' Pc 16"" On Center Each Way ",Part,0,Heck Construction,Steffy Rick,Bid Submitted,Guardian Barrier Mt Joy Wire Lot,1/16/2026,11/19/2025,2511 - GBMJWL,100,"$1,120.00 ","$1,489.60 "
Site Concrete Labor ,Labor,14,"Benchmark Construction Co., Inc.",Steffy Rick,Bid Submitted,SLI George Street,1/16/2026,10/28/2025,2510 - SLIGS,14,"$1,064.00 ","$1,489.60 "
4000 Psi Concrete  ,Part,0,Weaver Construction,Stoltzfus Jr Isaac,Bid Submitted,Lancaster Archery,1/16/2026,12/1/2025,2506-LA,7,"$1,064.00 ","$1,489.60 "
"GreenGuard Scoreboard 2""x4'x8'",Part,0,Warfel Construction,Steffy Rick,Bid Submitted,Landis Homes - Grounds Keeping Building,1/16/2026,11/25/2025,2511 - LHGB,21,"$1,102.71 ","$1,488.66 "
Management,Labor,20.5,Scenic Ridge Construction,Stoltzfus Jr Isaac,Bid Submitted,Sadsbury Commons,1/16/2026,9/10/2025,2508 - SC,20.5,"$1,127.50 ","$1,488.30 "
Travel Labor,Labor,29,Heck Construction,Steffy Rick,Bid Submitted,Guardian Barrier Mt Joy Wire Lot,1/16/2026,11/19/2025,2511 - GBMJWL,29,"$1,102.00 ","$1,487.70 "
"Chairs 3"" (5' section)",Part,0,"Centurion Construction Group, LLC",Stoltzfus Jr Isaac,Bid Submitted,Godshall's Quality Meats,1/16/2026,5/2/2025,2505-GM,563,"$1,069.70 ","$1,486.88 "
Travel Labor,Labor,29.4,"Hoover Building Specialists, Inc.",Swinehart Shelly,Bid Submitted,Lancaster Log Cabins 2025,1/16/2026,8/5/2025,2507-LLC,29.4,"$1,117.20 ","$1,485.88 "
Foundation Concrete  ,Part,0,Paul Risk Construction,Steffy Rick,Bid Submitted,Piazza Porsche,1/16/2026,8/4/2025,2508-PP,6.93,"$1,108.80 ","$1,485.79 "
Management,Labor,18,"Hoover Building Specialists, Inc.",Swinehart Shelly,Bid Submitted,Lancaster Log Cabins 2025,1/16/2026,8/6/2025,2507-LLC,18,$990.00 ,"$1,485.00 "
#4 Rebar - 20' Pc,Part,0,"Caldwell, Heckles and Egan, Inc.",Stoltzfus Jr Isaac,Lost,Railroad Museum of PA,1/16/2026,3/18/2025,RM-25-001,177,"$1,108.02 ","$1,484.75 "
#4 Rebar - 20' Pc,Part,0,George Allen Construction,Stoltzfus Jr Isaac,Lost,Railroad Museum of PA,1/16/2026,3/19/2025,RM-25-001,177,"$1,108.02 ","$1,484.75 "
"Heavy Duty SOG Chair 1 1/2"" - 2""",Part,0,"A & E Construction, Inc.",Stoltzfus Jr Isaac,Lost,Giant Food Store #6582,1/16/2026,10/30/2025,2508 - GI,3330,"$1,098.90 ","$1,483.51 "
"Heavy Duty SOG Chair 1 1/2"" - 2""",Part,0,"Ames Construction, Inc.",Stoltzfus Jr Isaac,Accepted,Giant #6582,1/16/2026,12/3/2025,2508 - GI,3330,"$1,098.90 ","$1,483.51 "
"Heavy Duty SOG Chair 1 1/2"" - 2""",Part,0,Lynmar Builders,Stoltzfus Jr Isaac,Lost,Giant Food Store,1/16/2026,10/30/2025,2508 - GI,3330,"$1,098.90 ","$1,483.51 "
"Heavy Duty SOG Chair 1 1/2"" - 2""",Part,0,Speedwell Construction Inc.,Stoltzfus Jr Isaac,Lost,Giant Food Store,1/16/2026,10/27/2025,2508 - GI,3330,"$1,098.90 ","$1,483.51 "
Foundation Wood Forms ,Part,0,Funk Construction,Stoltzfus Jr Isaac,Estimating,Cornwall Manor Woods Campus Apartments ,1/16/2026,1/5/2026,2512 - CA,768,"$1,090.56 ","$1,483.16 "
Wire Mesh 10 ga (1.4x1.4 6x6) 5'x10' Sheet,Part,0,"Ames Construction, Inc.",Stoltzfus Jr Isaac,Accepted,Giant #6582,1/16/2026,12/3/2025,2508 - GI,150,"$1,098.00 ","$1,482.30 "
Travel Labor,Labor,26,Hershey Excavating LLC,Stoltzfus Jr Isaac,Lost,GSK B40 Loading Dock,1/16/2026,7/8/2025,2507-GS,26,$988.00 ,"$1,482.00 "
#8 Rebar - 20' Pc,Part,0,Funk Construction,Stoltzfus Jr Isaac,Estimating,Cornwall Manor Woods Campus Apartments ,1/16/2026,1/5/2026,2512 - CA,38,"$1,089.46 ","$1,481.67 "
Management,Labor,6.8,"Ames Construction, Inc.",Steffy Rick,Bid Submitted,WaWa #8191 Hummelstown Ames,1/16/2026,7/2/2025,2506 - WH,6.8,"$1,122.00 ","$1,481.04 "
Management,Labor,20.22,Wohlsen Construction Company,Steffy Rick,Lost,Crossroads Beverage,1/16/2026,4/4/2025,CB - 25 - 001,20.22,"$1,112.10 ","$1,479.09 "
Rebar #9 - 20' pc,Part,0,IMC Construction,Stoltzfus Jr Isaac,Lost,Greystar Great Valley Residential,1/16/2026,1/8/2025,GR-25-001 ,39,"$1,103.70 ","$1,478.96 "
Pier Labor ,Labor,28,"Centurion Construction Group, LLC",Stoltzfus Jr Isaac,Bid Submitted,Godshall's Quality Meats,1/16/2026,5/2/2025,2505-GM,28,"$1,064.00 ","$1,478.96 "
Travel Labor,Labor,14,Heck Construction,Steffy Rick,Bid Submitted,Lebanon Steel Works,1/16/2026,10/30/2025,2510 - LSW,14,"$1,064.00 ","$1,478.96 "
Management,Labor,18.5,"B.R. Kreider & Son, Inc.",Steffy Rick,Lost,Hershey Park Artist Compound,1/16/2026,10/9/2025,2510 - HPAC,18.5,"$1,017.50 ","$1,475.38 "
#8 Rebar - 20' Pc,Part,0,IMC Construction,Stoltzfus Jr Isaac,Lost,SPD Jaindl Farms ,1/16/2026,3/14/2025,JF-25-001,44,"$1,100.88 ","$1,475.18 "
"Viper Tape 4"" x 180'",Part,0,"Benchmark Construction Co., Inc.",Steffy Rick,Bid Submitted,Hershey Lumber Company,1/16/2026,8/12/2025,2508 - HLC,33.1,"$1,100.58 ","$1,474.77 "
Rebar #5 - 20' pc,Part,0,IMC Construction,Stoltzfus Jr Isaac,Lost,Greystar Great Valley Residential,1/16/2026,1/7/2025,GR-25-001 ,89,"$1,100.04 ","$1,474.05 "
Management,Labor,20,"Caldwell, Heckles and Egan, Inc.",Stoltzfus Jr Isaac,Lost,Railroad Museum of PA,1/16/2026,3/17/2025,RM-25-001,20,"$1,100.00 ","$1,474.00 "
Management,Labor,20,eciConstruction,Stoltzfus Jr Isaac,Lost,Railroad Museum of PA,1/16/2026,3/19/2025,RM-25-001,20,"$1,100.00 ","$1,474.00 "
Management,Labor,20,George Allen Construction,Stoltzfus Jr Isaac,Lost,Railroad Museum of PA,1/16/2026,3/19/2025,RM-25-001,20,"$1,100.00 ","$1,474.00 "
7. Management Labor ,Labor,20,IMC Construction,Stoltzfus Jr Isaac,Lost,Greystar Great Valley Residential,1/16/2026,1/8/2025,GR-25-001 ,20,"$1,100.00 ","$1,474.00 "
7. Management Labor ,Labor,20,IMC Construction,Stoltzfus Jr Isaac,Lost,Greystar Great Valley Residential,1/16/2026,1/3/2025,GR-25-001 ,20,"$1,100.00 ","$1,474.00 "
Supervision ,Labor,11,CBG Building Company,Stoltzfus Jr Isaac,Bid Submitted,Willow Grove Retail Buildings D & H,1/16/2026,4/3/2025,WR-25-001,11,"$1,100.00 ","$1,474.00 "
7. Management Labor ,Labor,10,IMC Construction,Stoltzfus Jr Isaac,Lost,Greystar Great Valley Residential,1/16/2026,1/10/2025,GR-25-001 ,10,"$1,100.00 ","$1,474.00 "
5000 Psi Concrete  ,Part,0,CBG Building Company,Stoltzfus Jr Isaac,Bid Submitted,Willow Grove Apartments + Garage,1/16/2026,4/2/2025,WG-25-001,7,"$1,106.42 ","$1,471.54 "
Wire Mesh 6 ga (2.9x2.9 6x6) 5'x10' Sheet Mark Up Only,Part,0,Scenic Ridge Construction,Steffy Rick,In Progress,Alexander Drive Addition,1/16/2026,8/25/2025,2508 - ADA,1,"$1,467.10 ","$1,467.10 "
#5 Rebar - 20' Pc for Dowels,Part,0,"Hoover Building Specialists, Inc.",Steffy Rick,In Progress,Burkholder Tractor,1/16/2026,9/27/2025,2509 - BT,94,"$1,052.80 ","$1,466.69 "
Trailer Pump (Includes 3 hr) ,Subcontractor,0,Heck Construction,Stoltzfus Jr Isaac,Lost,Poplar Square Apartment Building,1/16/2026,12/12/2024,PS - 24 - 001,2,"$1,309.10 ","$1,466.19 "
Travel Labor,Labor,29,"B.R. Kreider & Son, Inc.",Steffy Rick,Bid Submitted,Baron Run,1/16/2026,10/1/2025,2510 - BR,29,"$1,102.00 ","$1,465.66 "
Travel Labor,Labor,29,"Centurion Construction Group, LLC",Stoltzfus Jr Isaac,Bid Submitted,West Shore Country Club Addition,1/16/2026,7/16/2025,2507-WS,29,"$1,102.00 ","$1,465.66 "
Travel Labor,Labor,29,CH+N Site,Stoltzfus Jr Isaac,In Progress,Broadcasting District Site,1/16/2026,10/6/2025,2507-BS,29,"$1,102.00 ","$1,465.66 "
Travel Labor,Labor,29,"Hoover Building Specialists, Inc.",Swinehart Shelly,In Progress,Sauders Feedmill,1/16/2026,11/4/2025,2511-SFM,29,"$1,102.00 ","$1,465.66 "
Management,Labor,6.4,"Hoover Building Specialists, Inc.",Swinehart Shelly,Bid Submitted,Lancaster Log Cabins 2025,1/16/2026,8/5/2025,2507-LLC,6.4,"$1,056.00 ","$1,464.32 "
8. Travel Labor,Labor,31,"B.R. Kreider & Son, Inc.",Steffy Rick,Bid Submitted,Summerdale Apartments,1/16/2026,1/28/2025,SA - 25 - 001,31,"$1,100.50 ","$1,463.67 "
Site Concrete Wood Forms ,Part,0,CBG Building Company,Stoltzfus Jr Isaac,Bid Submitted,Ave Horsham Apartments + Garage,1/16/2026,11/4/2025,2510 - HA,736,"$1,045.12 ","$1,463.17 "
Management,Labor,20,"B.R. Kreider & Son, Inc.",Steffy Rick,Bid Submitted,Baron Run,1/16/2026,10/1/2025,2510 - BR,20,"$1,100.00 ","$1,463.00 "
Management,Labor,20,CBG Building Company,Stoltzfus Jr Isaac,Bid Submitted,CANVAS Lawrenceville-Apartments,1/16/2026,10/3/2025,2506 - CL ,20,"$1,100.00 ","$1,463.00 "
7. Management Labor ,Labor,20,"Hoover Building Specialists, Inc.",Swinehart Shelly,Delayed,Mountain Supply,1/16/2026,3/4/2025,MOU-25-001,20,"$1,100.00 ","$1,463.00 "
Management,Labor,20,J.E. Horst Building and Remodeling,Steffy Rick,Bid Submitted,Farmer Boy Ag,1/16/2026,10/13/2025,2510 - FBA,20,"$1,100.00 ","$1,463.00 "
Management,Labor,19,CBG Building Company,Stoltzfus Jr Isaac,Bid Submitted,Ave Horsham Apartments + Garage,1/16/2026,11/4/2025,2510 - HA,19,"$1,045.00 ","$1,463.00 "
Rebar #7 - 20' pc,Part,0,IMC Construction,Stoltzfus Jr Isaac,Lost,Greystar Great Valley Residential,1/16/2026,12/30/2024,GR-25-001 ,45,"$1,089.45 ","$1,459.86 "
"Expansion Rigid Foam 4""x10'",Part,0,Buch Construction,Stoltzfus Jr Isaac,Bid Submitted,Broadcasting Village,1/16/2026,8/4/2025,BV-25-001,280,"$1,097.60 ","$1,459.81 "
3000 Psi Concrete  ,Part,0,"C. Raymond Davis & Sons, Inc.",Stoltzfus Jr Isaac,Bid Submitted,Chabad House,1/16/2026,11/26/2025,2511-CH,6.5,"$1,020.50 ","$1,459.32 "
Slab On Grade Labor ,Labor,30,Warfel Construction,Stoltzfus Jr Isaac,In Progress,Tel Hai Health Center,1/16/2026,9/17/2025,2506 - TH,30,"$1,140.00 ","$1,459.20 "
Boom Pump Rental w/Operator,Subcontractor,0,"Hoover Building Specialists, Inc.",Swinehart Shelly,Lost,California Closets,1/16/2026,9/29/2025,2504-CC,1,"$1,302.74 ","$1,459.07 "
4000 Psi Rohrers Concrete  ,Part,0,Warfel Construction,Stoltzfus Jr Isaac,Bid Submitted,Lancaster Archery,1/16/2026,10/31/2025,2506-LA,7.5,"$1,080.00 ","$1,458.00 "
Wire Mesh 10 ga (1.4x1.4 6x6) 5'x10' Sheet,Part,0,Funk Construction,Steffy Rick,Bid Submitted,Caring Cupboard,1/16/2026,7/29/2025,2507 - CC,145,"$1,096.20 ","$1,457.95 "
Wire Mesh 8 ga (2.1x2.1 6x6) 5'x10' Sheet,Part,0,"Centurion Construction Group, LLC",Stoltzfus Jr Isaac,In Progress,Mechanicsburg Volunteer Fire Department,1/16/2026,7/24/2025,2505-MF,104,"$1,121.12 ","$1,457.46 "
Trailer Pump (Includes 3 hr) ,Subcontractor,0,"Hoover Building Specialists, Inc.",Swinehart Shelly,In Progress,Shank Door Main Building,1/16/2026,10/28/2025,2506-SDMB,1,"$1,301.15 ","$1,457.29 "
#4 Rebar - 20' Pc,Part,0,High Construction Company,Stoltzfus Jr Isaac,Bid Submitted,Collegeville Apartments,1/16/2026,11/6/2025,CA-25-001,146,"$1,048.28 ","$1,457.11 "
Travel Labor,Labor,28.8,"Hoover Building Specialists, Inc.",Swinehart Shelly,Bid Submitted,Heritage Metalworks,1/16/2026,5/21/2025,2505 - HM,28.8,"$1,094.40 ","$1,455.55 "
Travel Labor,Labor,28.8,"Hoover Building Specialists, Inc.",Swinehart Shelly,Bid Submitted,The Trailer Shoppe,1/16/2026,4/23/2025,TTS-25-001,28.8,"$1,094.40 ","$1,455.55 "
Site Concrete  ,Part,0,"Hoover Building Specialists, Inc.",Steffy Rick,Bid Submitted,Stevens Feed Mill Schoeneck,1/16/2026,10/20/2025,2509 - SFMS,7.5,"$1,093.13 ","$1,453.86 "
#5 Rebar - 20' Pc,Part,0,Buch Construction,Stoltzfus Jr Isaac,Bid Submitted,Broadcasting Village,1/16/2026,8/4/2025,BV-25-001,112,"$1,093.12 ","$1,453.85 "
#5 Rebar - 20' Pc,Part,0,"Benchmark Construction Co., Inc.",Stoltzfus Jr Isaac,Lost,Meadows Hybrid Homes Buildings 1 &2,1/16/2026,4/7/2025,MH-25-001,59,"$1,092.68 ","$1,453.26 "
#5 Rebar - 20' Pc,Part,0,EGStoltzfus Commercial Construction,Stoltzfus Jr Isaac,Lost,Meadows Hybrid Homes Buildings 1 &2,1/16/2026,4/7/2025,MH-25-001,59,"$1,092.68 ","$1,453.26 "
#5 Rebar - 20' Pc,Part,0,High Construction Company,Stoltzfus Jr Isaac,Lost,Meadows Hybrid Homes Buildings 1 &2,1/16/2026,4/7/2025,MH-25-001,59,"$1,092.68 ","$1,453.26 "
3. Spreadfooting Labor ,Labor,31,American Construction And Concrete,Stoltzfus Jr Isaac,Lost,Townplace Suites - Lebanon,1/16/2026,2/20/2025,TS-25-001,31,"$1,100.50 ","$1,452.66 "
8. Travel Labor,Labor,31,American Construction And Concrete,Stoltzfus Jr Isaac,Lost,Townplace Suites - Lebanon,1/16/2026,2/20/2025,TS-25-001,31,"$1,100.50 ","$1,452.66 "
3. Spreadfooting Labor ,Labor,31,Speedwell Construction Inc.,Stoltzfus Jr Isaac,Lost,Townplace Suites - Lebanon,1/16/2026,2/6/2025,TS-25-001,31,"$1,100.50 ","$1,452.66 "
8. Travel Labor,Labor,31,Speedwell Construction Inc.,Stoltzfus Jr Isaac,Lost,Townplace Suites - Lebanon,1/16/2026,2/6/2025,TS-25-001,31,"$1,100.50 ","$1,452.66 "
V-Seal 102 5 gal,Part,0,Wohlsen Construction Company,Steffy Rick,Lost,Crossroads Beverage,1/16/2026,4/3/2025,CB - 25 - 001,5.81,"$1,092.22 ","$1,452.66 "
7. Management Labor ,Labor,20,Bozzuto Construction Company,Stoltzfus Jr Isaac,Bid Submitted,"Residences at Providence Town Center, Phase 3",1/16/2026,8/15/2025,RP-25-001,20,"$1,100.00 ","$1,452.00 "
7. Management Labor ,Labor,20,Speedwell Construction Inc.,Stoltzfus Jr Isaac,Lost,Townplace Suites - Lebanon,1/16/2026,2/24/2025,TS-25-001,20,"$1,100.00 ","$1,452.00 "
"Chairs 3"" (5' section)",Part,0,Buch Construction,Stoltzfus Jr Isaac,Bid Submitted,Broadcasting Village,1/16/2026,8/4/2025,BV-25-001,570,"$1,083.00 ","$1,451.22 "
Wire Mesh 8 ga (2.1x2.1 6x6) 5'x10' Sheet,Part,0,J.E. Horst Building and Remodeling,Steffy Rick,Bid Submitted,L&L Marketplace,1/16/2026,12/29/2025,2512 - LLM,106,"$1,073.78 ","$1,449.60 "
Management,Labor,19.5,CBG Building Company,Stoltzfus Jr Isaac,Bid Submitted,Ave Horsham Apartments + Garage,1/16/2026,11/4/2025,2510 - HA,19.5,"$1,072.50 ","$1,447.88 "
Spreadfooting Labor ,Labor,28,Funk Construction,Stoltzfus Jr Isaac,Estimating,Cornwall Manor Woods Campus Apartments ,1/16/2026,1/5/2026,2512 - CA,28,"$1,064.00 ","$1,447.04 "
Travel Labor,Labor,14,Funk Construction,Stoltzfus Jr Isaac,Estimating,Cornwall Manor Woods Campus Apartments ,1/16/2026,1/5/2026,2512 - CA,14,"$1,064.00 ","$1,447.04 "
Foundation Wood Forms ,Part,0,"Milex Construction, LLC",Stoltzfus Jr Isaac,Accepted,Sadsbury Commons,1/16/2026,11/19/2025,2508 - SC,760,"$1,079.20 ","$1,446.13 "
#6 Rebar - 20' Pc,Part,0,"C. Raymond Davis & Sons, Inc.",Steffy Rick,Bid Submitted,Mercedes of Wilmington,1/16/2026,8/26/2025,2508 - MOW,71.4,"$1,078.85 ","$1,445.66 "
